Neighbourhood,Neighbourhood Id,Combined Indicators,   Chinese,   South Asian,   Black,   Filipino,   Latin American,   Southeast Asian,   Arab,   West Asian,   Korean,   Japanese,  White,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts
West Humber-Clairville,1,N/A,695,13080,6385,1470,1220,820,235,220,100,55,6855,62,390,68,175,82,288,54
Mount Olive-Silverstone-Jamestown,2,N/A,200,12720,8285,680,870,560,1605,1160,85,0,4525,90,316,75,61,78,62,7
Thistletown-Beaumond Heights,3,N/A,105,2285,1530,485,670,200,210,285,0,10,3705,16,85,24,36,17,12,2
Rexdale-Kipling,4,N/A,200,1435,1025,245,650,85,55,40,90,50,5735,15,59,20,32,16,18,3
Elms-Old Rexdale,5,N/A,120,925,2150,605,695,400,80,265,55,0,4030,14,77,5,25,23,22,19
Kingsview Village-The Westway,6,N/A,450,3965,4415,555,815,275,225,730,175,40,9440,47,134,22,59,32,48,8
Willowridge-Martingrove-Richview,7,N/A,460,2425,2250,435,950,115,175,245,365,80,13520,18,131,22,66,48,49,8
Humber Heights-Westmount,8,N/A,105,380,960,80,410,25,185,25,140,0,7270,12,41,1,28,15,8,1
Edenbridge-Humber Valley,9,N/A,265,200,580,165,540,70,155,95,290,45,12295,4,57,5,75,18,21,5
Princess-Rosethorn,10,N/A,330,540,290,125,60,25,25,20,245,55,9340,16,48,1,50,17,16,9
Eringate-Centennial-West Deane,11,N/A,595,1315,1190,370,290,130,85,100,530,235,13570,9,58,9,63,35,25,5
Markland Wood,12,N/A,275,245,120,210,65,25,105,30,255,60,8920,10,42,3,24,20,14,0
Etobicoke West Mall,13,N/A,295,1200,1000,585,295,50,130,285,215,35,6265,11,73,6,26,15,15,4
Islington-City Centre West,14,N/A,1235,2535,2150,1405,1040,765,210,390,1590,225,25060,71,268,37,207,58,188,23
Kingsway South,15,N/A,280,245,80,75,50,25,0,0,165,45,8100,6,37,1,29,30,15,2
Stonegate-Queensway,16,N/A,350,1015,545,355,390,425,115,120,180,170,20645,19,131,10,86,21,50,9
Mimico,17,N/A,1095,1055,1300,865,620,310,445,250,205,125,19640,52,201,14,139,16,35,9
New Toronto,18,N/A,140,460,1215,505,215,110,110,45,70,65,7410,42,137,8,69,37,28,0
Long Branch,19,N/A,170,245,330,380,340,65,35,35,105,40,7590,13,78,21,41,12,17,2
Alderwood,20,N/A,285,500,205,540,125,40,0,0,20,50,9910,13,49,15,77,12,19,4
Humber Summit,21,N/A,65,3980,1195,140,555,550,265,335,0,0,5165,11,98,8,76,30,59,6
Humbermede,22,N/A,195,3800,3005,605,1870,875,180,195,100,0,4105,35,131,34,58,40,45,2
Pelmo Park-Humberlea,23,N/A,130,480,945,225,470,425,85,110,45,20,5385,43,63,5,37,39,29,6
Black Creek,24,N/A,835,2575,7035,575,1430,2455,865,475,40,0,4130,90,242,36,75,65,59,4
Glenfield-Jane Heights,25,N/A,1405,2660,7190,720,5085,4020,565,370,30,0,7120,117,299,72,84,120,37,4
